error_tag_alias,tag,equipment,permissible_error
DP_OPT_C_ERR_YPRED_YACT_GT_C1,06C-F6004.PV,GT C1,4
DP_OPT_C_ERR_YPRED_YACT_GT_C2,06C-F6014.PV,GT C2,4
DP_OPT_C_ERR_YPRED_YACT_GT_C4,06C-F0111.PV,GT C4,4
DP_OPT_C_ERR_YPRED_YACT_GT_C5,06C-F0112,GT C5,4
DP_OPT_C_ERR_YPRED_YACT_GT_R5,06D-5EKG10CF403C,GT R5,4
DP_OPT_C_ERR_YPRED_YACT_GT_R6,06D-6EKG10CF403C,GT R6,4
DP_OPT_C_ERR_YPRED_YACT_GTB_C1,06C-F5000.PV,GT BLR C1,15
DP_OPT_C_ERR_YPRED_YACT_BLR_C1,06C-F5000.PV,BLR C1,10
DP_OPT_C_ERR_YPRED_YACT_GTB_C2,06C-F5400,GT BLR C2,10
DP_OPT_C_ERR_YPRED_YACT_BLR_C2,06C-F5400,BLR C2,15
DP_OPT_C_ERR_YPRED_YACT_HRSG_C4,06C-F0121.PV,GT C4,15
DP_OPT_C_ERR_YPRED_YACT_HRSG_C5,06C-F0129.PV,GT C5,6
DP_OPT_C_ERR_YPRED_YACT_HRSG_R5,06D-FAHL5017A,GT R5,6
DP_OPT_C_ERR_YPRED_YACT_HRSG_R6,06D-FAHL6017A,GT R6,15
DP_OPT_C_ERR_YPRED_YACT_STG_C3,06C-FX3618,STG C3,10
DP_OPT_C_ERR_YPRED_YACT_STG_R2,06B-FAHL2001A,STG R2,5
DP_OPT_C_ERR_YPRED_YACT_STG_R3,06B-FAHL3708A,STG R3,5
DP_OPT_C_ERR_YPRED_YACT_STG_R4,06D-R4THROTTLE,STG R4,5
